DC,TC,MC,PH
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0410,1
0.0000,0.0000,-0.0410,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0410,1
0.0000,0.0000,-0.0410,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0410,1
0.0000,0.0000,-0.0410,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0029,-0.0578,1
0.0000,0.0029,-0.0578,1
0.0000,0.0029,-0.0745,1
0.0000,0.0029,-0.0745,1
0.0000,0.0248,-0.0745,1
0.0000,0.0248,-0.0745,1
0.0000,0.0248,-0.0745,1
0.0000,0.0248,-0.0745,1
0.0000,0.0459,-0.0578,1
0.0000,0.0459,-0.0578,1
0.0000,0.0459,-0.0745,1
0.0000,0.0459,-0.0745,1
0.0000,0.0666,-0.0745,1
0.0000,0.0666,-0.0745,1
0.0000,0.0666,-0.0578,1
0.0000,0.0666,-0.0578,1
0.0000,0.0859,-0.0410,1
0.0000,0.0859,-0.0410,1
0.0000,0.0859,-0.0410,1
0.0000,0.0859,-0.0410,1
0.0000,0.1055,-0.0578,1
0.0000,0.1055,-0.0578,1
0.0000,0.1055,-0.0745,1
0.0000,0.1055,-0.0745,1
0.0000,0.1420,-0.0745,1
0.0000,0.1420,-0.0745,1
0.0000,0.1420,-0.0745,1
0.0000,0.1420,-0.0745,1
0.0000,0.1422,-0.0745,1
0.0000,0.1422,-0.0745,1
0.0000,0.1422,-0.0745,1
0.0000,0.1422,-0.0745,1
0.0000,0.1602,-0.0578,1
0.0000,0.1602,-0.0578,1
0.0000,0.1602,-0.0745,1
0.0000,0.1602,-0.0745,1
0.0000,0.1500,-0.0745,1
0.0000,0.1500,-0.0745,1
0.0000,0.1500,-0.0745,1
0.0000,0.1500,-0.0745,1
0.0000,0.1700,-0.0578,1
0.0000,0.1700,-0.0578,1
0.0000,0.1700,-0.0578,1
0.0000,0.1700,-0.0578,1
0.0000,0.1870,-0.0578,1
0.0000,0.1870,-0.0578,1
0.0000,0.1870,-0.0745,1
0.0000,0.1870,-0.0745,1
0.0000,0.1500,-0.0410,1
0.0000,0.1500,-0.0410,1
0.0000,0.1500,-0.0578,1
0.0000,0.1500,-0.0578,1
0.0000,0.1700,-0.0410,1
0.0000,0.1700,-0.0410,1
0.0000,0.1700,-0.0578,1
0.0000,0.1700,-0.0578,1
0.0000,0.1865,-0.0410,1
0.0000,0.1865,-0.0410,1
0.0000,0.1865,-0.0410,1
0.0000,0.1865,-0.0410,1
0.0000,0.1500,-0.0578,1
0.0000,0.1500,-0.0578,1
0.0000,0.1500,-0.0578,1
0.0000,0.1500,-0.0578,1
0.0000,0.1865,-0.0578,1
0.0000,0.1865,-0.0578,1
0.0000,0.1865,-0.0578,1
0.0000,0.1865,-0.0578,1
0.0000,0.1706,-0.0410,1
0.0000,0.1706,-0.0410,1
0.0000,0.1706,-0.0578,1
0.0000,0.1706,-0.0578,1
0.0000,0.1501,-0.0410,1
0.0000,0.1501,-0.0410,1
0.0000,0.1501,-0.0578,1
0.0000,0.1501,-0.0578,1
0.0000,0.1861,-0.0410,1
0.0000,0.1861,-0.0410,1
0.0000,0.1861,-0.0410,1
0.0000,0.1861,-0.0410,1
0.0000,0.1711,-0.0410,1
0.0000,0.1711,-0.0410,1
0.0000,0.1711,-0.0410,1
0.0000,0.1711,-0.0410,1
0.0000,0.1501,-0.0410,1
0.0000,0.1501,-0.0410,1
0.0000,0.1501,-0.0578,1
0.0000,0.1501,-0.0578,1
0.0000,0.1861,-0.0745,1
0.0000,0.1861,-0.0745,1
0.0000,0.1861,-0.0578,1
0.0000,0.1861,-0.0578,1
0.0000,0.1706,-0.0410,1
0.0000,0.1706,-0.0410,1
0.0000,0.1706,-0.0578,1
0.0000,0.1706,-0.0578,1
0.0000,0.1501,-0.0410,1
0.0000,0.1501,-0.0410,1
0.0000,0.1501,-0.0578,1
0.0000,0.1501,-0.0578,1
0.0000,0.1861,-0.0578,1
0.0000,0.1861,-0.0578,1
0.0000,0.1861,-0.0410,1
0.0000,0.1861,-0.0410,1
0.0000,0.1706,-0.0578,1
0.0000,0.1706,-0.0578,1
0.0000,0.1706,-0.0578,1
0.0000,0.1706,-0.0578,1
0.0000,0.1506,-0.0578,1
0.0000,0.1506,-0.0578,1
0.0000,0.1506,-0.0578,1
0.0000,0.1506,-0.0578,1
0.0000,0.1861,-0.0578,1
0.0000,0.1861,-0.0578,1
0.0000,0.1861,-0.0745,1
0.0000,0.1861,-0.0745,1
0.0000,0.1706,-0.0578,1
0.0000,0.1706,-0.0578,1
0.0000,0.1706,-0.0745,1
0.0000,0.1706,-0.0745,1
0.0000,0.1501,-0.0578,1
0.0000,0.1501,-0.0578,1
0.0000,0.1501,-0.0578,1
0.0000,0.1501,-0.0578,1
0.0000,0.1866,-0.0578,1
0.0000,0.1866,-0.0578,1
0.0000,0.1866,-0.0578,1
0.0000,0.1866,-0.0578,1
0.0000,0.1706,-0.0578,1
